"doi"	"oadoi_color"	"full_text_indicator_automated"	"date_of_manual_full_text_check"	"full_text_indicator_manual"
"10.1029/2005jb004238"	"bronze"	0		
"10.3892/ijo_00000235"	"bronze"	0		
"10.1093/ndt/gfq105"	"bronze"	0		
"10.1093/jnci/93.4.293"	"bronze"	0		
"10.1175/1520-0450(1972)011<0211:errrrr>2.0.co;2"	"bronze"	0		
"10.1175/1520-0469(1985)042<1213:apestc>2.0.co;2"	"bronze"	0		
"10.1017/s0003598x00024753"	"bronze"	0		
"10.1088/2058-8585/1/1/015001"	"bronze"	0		
"10.1152/ajpcell.00017.2012"	"bronze"	0		
"10.12693/aphyspola.125.1396"	"bronze"	0		
"10.1080/10417944309370858"	"closed"	0		
"10.1080/09613219208727169"	"closed"	0		
"10.1080/14631379408427777"	"closed"	0		
"10.1080/19406940.2016.1272619"	"closed"	0		
"10.2165/00128415-199907500-00024"	"closed"	0		
"10.1628/219944616x14655421286130"	"closed"	0		
"10.1002/qj.49708134804"	"closed"	0		
"10.1159/000148954"	"closed"	0		
"10.3109/01443615.2013.786029"	"closed"	0		
"10.1016/0002-9394(67)90586-7"	"closed"	0		
"10.1093/nar/gks1065"	"gold"	0		
"10.1051/proc/201448016"	"gold"	0		
"10.1093/nar/gkp926"	"gold"	0		
"10.1093/nar/gkp1098"	"gold"	0		
"10.1093/nar/gks1346"	"gold"	0		
"10.15587/1729-4061.2014.23156"	"gold"	0		
"10.1093/rheumatology/kel255"	"gold"	0		
"10.4013/ver.2012.26.63.06"	"gold"	0		
"10.1093/nar/gkx180"	"gold"	0		
"10.1186/gb-spotlight-20001006-01"	"gold"	0		
"10.1093/mnras/stw385"	"green"	0		
"10.1093/mnras/stw2771"	"green"	0		
"10.1029/ja083ia05p02190"	"green"	0		
"10.1097/01.j.pain.0000460356.94374.a1"	"green"	0		
"10.1080/1059924x.2011.554772"	"green"	0		
"10.1093/jmedent/45.6.1071"	"green"	0		
"10.2139/ssrn.399140"	"green"	0		
"10.1061/(asce)cp.1943-5487.0000324"	"green"	0		
"10.1136/bmj.1.3498.93"	"green"	0		
"10.1071/mf09237"	"green"	0		
"10.1093/molbev/msv062"	"hybrid"	0		
"10.4172/2155-9821.1000130"	"hybrid"	0		
"10.1029/98jb901498"	"hybrid"	0		
"10.17265/1537-1506/2013.11.002"	"hybrid"	0		
"10.1186/s41073-016-0007-6"	"hybrid"	0		
"10.1093/jxb/erw309"	"hybrid"	0		
"10.1016/j.aprim.2010.09.021"	"hybrid"	0		
"10.1016/j.proeng.2016.04.045"	"hybrid"	0		
"10.1093/ndtplus/sfp100"	"hybrid"	0		
"10.4172/2161-0436.s5-002"	"hybrid"	0		
"10.1042/bj1270082p"	"bronze"	1		
"10.1038/ncomms6405"	"bronze"	1		
"10.2978/jsas.4.143"	"bronze"	1		
"10.7205/milmed.171.3.261"	"bronze"	1		
"10.2215/cjn.00490109"	"bronze"	1		
"10.3406/syria.1927.3278"	"bronze"	1		
"10.1109/tpc.2010.2077890"	"bronze"	1		
"10.1038/sj.embor.7401009"	"bronze"	1		
"10.1016/j.jpainsymman.2008.03.018"	"bronze"	1		
"10.1073/pnas.1119623109"	"bronze"	1		
"10.1111/psyp.12426"	"closed"	1		
"10.1002/pola.26515"	"closed"	1		
"10.1111/j.1747-1567.2009.00600.x"	"closed"	1		
"10.1007/s00894-010-0907-1"	"closed"	1		
"10.1111/bjh.14632"	"closed"	1		
"10.1016/j.ijpharm.2015.08.094"	"closed"	1		
"10.1111/eci.12028"	"closed"	1		
"10.1038/365215b0"	"closed"	1		
"10.1016/j.micpro.2012.02.010"	"closed"	1		
"10.1007/s00383-002-0843-y"	"closed"	1		
"10.2147/ppa.s8913"	"gold"	1		
"10.21669/tomo.v0i0.5425"	"gold"	1		
"10.3989/aearte.2006.v79.i315.75"	"gold"	1		
"10.5354/0719-3769.2011.14347"	"gold"	1		
"10.1371/journal.pone.0005132"	"gold"	1		
"10.1371/journal.pone.0039504"	"gold"	1		
"10.1126/sciadv.1501616"	"gold"	1		
"10.1126/sciadv.1602289"	"gold"	1		
"10.3389/fendo.2017.00045"	"gold"	1		
"10.1890/es14-00440.1"	"gold"	1		
"10.1111/j.1475-4991.2011.00490.x"	"green"	1		
"10.1103/physrevb.86.224412"	"green"	1		
"10.1016/s0148-6195(00)00022-9"	"green"	1		
"10.1002/anie.201405497"	"green"	1		
"10.2307/1938328"	"green"	1		
"10.1136/jmg.2011.088864"	"green"	1		
"10.1016/j.crhy.2011.10.016"	"green"	1		
"10.1038/npp.2014.303"	"green"	1		
"10.1103/physreva.75.034701"	"green"	1		
"10.1308/147870811x13137608455172"	"green"	1		
"10.1002/icd.1848"	"hybrid"	1		
"10.1016/j.jbi.2009.11.003"	"hybrid"	1		
"10.1016/s1028-4559(08)60134-5"	"hybrid"	1		
"10.18632/oncotarget.6201"	"hybrid"	1		
"10.3340/jkns.2010.47.2.140"	"hybrid"	1		
"10.1016/j.immuni.2010.09.001"	"hybrid"	1		
"10.1016/j.metabol.2015.10.028"	"hybrid"	1		
"10.1016/j.jtcvs.2011.12.059"	"hybrid"	1		
"10.1016/j.cell.2013.02.003"	"hybrid"	1		
"10.1111/nph.12346"	"hybrid"	1		
